top - 16:26:32 up 3 days, 10:14,  1 user,  load average: 0.59, 0.60, 0.44
Tasks: 351 total,   2 running, 278 sleeping,   3 stopped,   0 zombie
%Cpu(s): 33.3 us, 10.0 sy,  0.0 ni, 56.0 id,  0.5 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8082552 total,   133808 free,  4978888 used,  2969856 buff/cache
KiB Swap:  2097148 total,  1581148 free,   516000 used.  2686732 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1527 bhaskar   20   0  306568   3144   1380 S   0.0  0.0   0:09.07 gvfs-udisk+
 1534 bhaskar   20   0  274040   1880   1612 S   0.0  0.0   0:00.01 gvfs-goa-v+
 1538 bhaskar   20   0  0.110t   4288   3508 S   0.0  0.1   0:00.91 goa-daemon
 1549 bhaskar   20   0  303352   1328   1168 S   0.0  0.0   0:00.35 goa-identi+
 1554 bhaskar   20   0  288788   1976   1656 S   0.0  0.0   0:00.02 gvfs-gphot+
 1558 bhaskar   20   0  378808   1832   1512 S   0.0  0.0   0:00.02 gvfs-afc-v+
 1563 bhaskar   20   0  275864   1996   1596 S   0.0  0.0   0:00.03 gvfs-mtp-v+
 1567 root      20   0  449540  52876   6772 S   0.0  0.7   0:12.64 packagekitd
 1570 bhaskar   20   0  872612  14020   8148 S   0.0  0.2   0:03.44 gsd-power
 1571 bhaskar   20   0  349308   1616   1064 S   0.0  0.0   0:00.20 gsd-print-+
 1572 bhaskar   20   0  423340   1816   1472 S   0.0  0.0   0:00.38 gsd-rfkill
 1573 bhaskar   20   0  275728   2072   1728 S   0.0  0.0   0:00.18 gsd-screen+
 1574 bhaskar   20   0  452968   4176   2888 S   0.0  0.1   0:17.83 gsd-sharing
 1577 bhaskar   20   0  377936   2032   1748 S   0.0  0.0   0:00.18 gsd-smartc+
 1581 bhaskar   20   0  332888   4648   4064 S   0.0  0.1   0:00.18 gsd-sound
 1584 bhaskar   20   0  494544  10124   6648 S   0.0  0.1   0:02.77 gsd-xsetti+
 1593 bhaskar   20   0  429044  10144   5844 S   0.0  0.1   0:02.02 gsd-wacom
 1605 bhaskar   20   0  278160   1628   1392 S   0.0  0.0   0:00.17 gsd-a11y-s+
 1607 bhaskar   20   0  344200   8000   5532 S   0.0  0.1   0:01.99 gsd-clipbo+
 1613 bhaskar   20   0  668792  12024   7056 R   0.0  0.1   0:42.26 gsd-color
 1618 bhaskar   20   0  469764   2000   1788 S   0.0  0.0   0:00.20 gsd-dateti+
 1620 bhaskar   20   0  364844   3396   2472 S   0.0  0.0   0:05.74 gsd-housek+
 1621 bhaskar   20   0  498624   8328   5812 S   0.0  0.1   0:02.08 gsd-keyboa+
 1626 bhaskar   20   0 1205284  10560   7328 S   0.0  0.1   0:02.77 gsd-media-+
 1628 bhaskar   20   0  278164   1688   1440 S   0.0  0.0   0:00.18 gsd-mouse
 1663 whoopsie  20   0  478512  20508   5776 S   0.0  0.3   0:01.14 whoopsie
 1675 kernoops  20   0   56932    936    828 S   0.0  0.0   0:04.81 kerneloops
 1682 kernoops  20   0   56932    868    756 S   0.0  0.0   0:04.77 kerneloops
 1691 bhaskar   20   0  508752   2664   2192 S   0.0  0.0   0:00.02 gsd-printer
 1716 bhaskar   20   0 1398428 112620  18916 S   0.0  1.4   0:14.82 gnome-soft+
 1724 bhaskar   20   0  271928   1932    712 S   0.0  0.0   0:00.11 gsd-disk-u+
